titre,date,lien,type,cves
Multiples vulnérabilités dans les produits Microsoft (09 janvier 2026),"Fri, 09 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0022/,Avis,[]
Multiples vulnérabilités dans les produits Axis (12 janvier 2026),"Mon, 12 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0023/,Avis,[]
Multiples vulnérabilités dans VMware Tanzu Greenplum Backup and Restore (12 janvier 2026),"Mon, 12 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0024/,Avis,[]
Vulnérabilité dans Microsoft Edge (12 janvier 2026),"Mon, 12 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0025/,Avis,[]
Vulnérabilité dans Google Pixel (13 janvier 2026),"Tue, 13 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0026/,Avis,[]
Vulnérabilité dans NetApp ONTAP (13 janvier 2026),"Tue, 13 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0027/,Avis,[]
Multiples vulnérabilités dans MariaDB (13 janvier 2026),"Tue, 13 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0028/,Avis,[]
Multiples vulnérabilités dans VMware Tanzu Gemfire (13 janvier 2026),"Tue, 13 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0029/,Avis,[]
Vulnérabilité dans MISP (13 janvier 2026),"Tue, 13 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0030/,Avis,[]
Multiples vulnérabilités dans Google Chrome (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0040/,Avis,[]
Multiples vulnérabilités dans les produits Elastic (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0041/,Avis,[]
Multiples vulnérabilités dans les produits HPE Aruba Networking (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0042/,Avis,[]
Multiples vulnérabilités dans les produits SAP (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0034/,Avis,[]
Multiples vulnérabilités dans Suricata (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0036/,Avis,[]
Multiples vulnérabilités dans les produits Siemens (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0032/,Avis,[]
Multiples vulnérabilités dans les produits Schneider Electric (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0033/,Avis,[]
Multiples vulnérabilités dans Node.js (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0039/,Avis,[]
Multiples vulnérabilités dans les produits Fortinet (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0035/,Avis,[]
Multiples vulnérabilités dans Typo3 (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0037/,Avis,[]
Vulnérabilité dans le greffon VSCode pour Spring CLI (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0031/,Avis,[]
Multiples vulnérabilités dans Microsoft Office (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0043/,Avis,[]
Multiples vulnérabilités dans Microsoft Windows (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0044/,Avis,[]
Multiples vulnérabilités dans Microsoft Azure (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0045/,Avis,[]
Multiples vulnérabilités dans les produits Microsoft (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0046/,Avis,[]
Multiples vulnérabilités dans les produits Mozilla (14 janvier 2026),"Wed, 14 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0038/,Avis,[]
Vulnérabilité dans F5 NGINX Ingress Controller (15 janvier 2026),"Thu, 15 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0047/,Avis,[]
Multiples vulnérabilités dans Wireshark (15 janvier 2026),"Thu, 15 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0048/,Avis,[]
Multiples vulnérabilités dans les produits Palo Alto Networks (15 janvier 2026),"Thu, 15 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0049/,Avis,[]
Multiples vulnérabilités dans les produits Juniper Networks (15 janvier 2026),"Thu, 15 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0050/,Avis,[]
Multiples vulnérabilités dans les produits Mozilla (15 janvier 2026),"Thu, 15 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0051/,Avis,[]
Multiples vulnérabilités dans Mattermost Server (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0052/,Avis,[]
Vulnérabilité dans Traefik (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0053/,Avis,[]
Multiples vulnérabilités dans Centreon Infra Monitoring (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0054/,Avis,[]
Multiples vulnérabilités dans GLPI (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0055/,Avis,[]
Multiples vulnérabilités dans le noyau Linux de Red Hat (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0056/,Avis,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0057/,Avis,"['CVE-2025-40341', 'CVE-2025-68312', 'CVE-2025-40322', 'CVE-2025-68200', 'CVE-2025-68734', 'CVE-2025-40262', 'CVE-2025-68302', 'CVE-2025-68220', 'CVE-2025-40318', 'CVE-2025-37899', 'CVE-2025-40257', 'CVE-2025-40313', 'CVE-2025-38057', 'CVE-2025-68194', 'CVE-2025-40301', 'CVE-2025-68327', 'CVE-2025-40278', 'CVE-2025-68176', 'CVE-2025-40321', 'CVE-2025-40283', 'CVE-2025-68283', 'CVE-2025-68245', 'CVE-2025-68218', 'CVE-2025-40343', 'CVE-2025-68287', 'CVE-2025-40297', 'CVE-2025-68192', 'CVE-2025-68330', 'CVE-2025-40317', 'CVE-2025-68339', 'CVE-2025-68227', 'CVE-2025-68173', 'CVE-2025-68310', 'CVE-2025-68286', 'CVE-2025-68237', 'CVE-2025-40360', 'CVE-2025-40271', 'CVE-2025-40279', 'CVE-2025-68282', 'CVE-2025-68233', 'CVE-2024-47666', 'CVE-2025-40308', 'CVE-2025-68177', 'CVE-2025-68231', 'CVE-2025-40263', 'CVE-2025-40323', 'CVE-2025-68185', 'CVE-2025-68238', 'CVE-2025-40285', 'CVE-2025-68290', 'CVE-2025-38678', 'CVE-2025-68289', 'CVE-2025-40314', 'CVE-2025-40331', 'CVE-2025-40254', 'CVE-2025-40312', 'CVE-2025-40214', 'CVE-2025-40252', 'CVE-2025-40272', 'CVE-2025-68321', 'CVE-2025-68204', 'CVE-2025-40294', 'CVE-2025-40280', 'CVE-2025-40304', 'CVE-2025-68331', 'CVE-2025-40083', 'CVE-2025-68295', 'CVE-2025-68328', 'CVE-2025-68171', 'CVE-2025-40292', 'CVE-2025-40261', 'CVE-2025-40284', 'CVE-2025-68246', 'CVE-2025-68303', 'CVE-2025-40248', 'CVE-2025-38556', 'CVE-2025-68307', 'CVE-2025-40253', 'CVE-2025-68284', 'CVE-2025-40211', 'CVE-2025-40288', 'CVE-2025-68241', 'CVE-2025-40293', 'CVE-2025-40264', 'CVE-2025-40324', 'CVE-2025-68214', 'CVE-2025-40269', 'CVE-2025-38593', 'CVE-2025-68301', 'CVE-2025-68244', 'CVE-2025-40259', 'CVE-2025-40342', 'CVE-2025-68217', 'CVE-2025-39805', 'CVE-2025-40282', 'CVE-2025-40275', 'CVE-2025-68191', 'CVE-2025-40306', 'CVE-2025-68308', 'CVE-2025-40281', 'CVE-2025-40309', 'CVE-2025-40286', 'CVE-2025-68168', 'CVE-2025-40273', 'CVE-2025-68343', 'CVE-2025-40277', 'CVE-2025-40315', 'CVE-2025-68288', 'CVE-2025-40319', 'CVE-2025-68285', 'CVE-2025-40258', 'CVE-2025-68229', 'CVE-2025-40363', 'CVE-2025-40345']"
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0058/,Avis,"['CVE-2025-22071', 'CVE-2025-22018', 'CVE-2025-22081', 'CVE-2025-22057', 'CVE-2025-22042', 'CVE-2023-53034', 'CVE-2025-22054', 'CVE-2024-47691', 'CVE-2025-22055', 'CVE-2024-50095', 'CVE-2025-40157', 'CVE-2025-39993', 'CVE-2025-22033', 'CVE-2025-37937', 'CVE-2025-22097', 'CVE-2025-22089', 'CVE-2025-22019', 'CVE-2025-22065', 'CVE-2025-22020', 'CVE-2025-38352', 'CVE-2024-50196', 'CVE-2025-22036', 'CVE-2025-22086', 'CVE-2024-53090', 'CVE-2025-22021', 'CVE-2025-22039', 'CVE-2024-50067', 'CVE-2025-22047', 'CVE-2025-21855', 'CVE-2025-22070', 'CVE-2025-38227', 'CVE-2024-58092', 'CVE-2025-22073', 'CVE-2025-22095', 'CVE-2025-38666', 'CVE-2025-22028', 'CVE-2025-22038', 'CVE-2025-22079', 'CVE-2025-38575', 'CVE-2025-37958', 'CVE-2025-22041', 'CVE-2022-49026', 'CVE-2025-22027', 'CVE-2025-38678', 'CVE-2025-22080', 'CVE-2024-53218', 'CVE-2025-22035', 'CVE-2025-22068', 'CVE-2025-38240', 'CVE-2025-22075', 'CVE-2025-23138', 'CVE-2025-22064', 'CVE-2025-39728', 'CVE-2025-37838', 'CVE-2025-22056', 'CVE-2025-21729', 'CVE-2025-22045', 'CVE-2025-22040', 'CVE-2025-38152', 'CVE-2025-39964', 'CVE-2025-22060', 'CVE-2025-22044', 'CVE-2025-22062', 'CVE-2025-38637', 'CVE-2025-38616', 'CVE-2022-49390', 'CVE-2024-49935', 'CVE-2025-40114', 'CVE-2025-22025', 'CVE-2025-22058', 'CVE-2025-22072', 'CVE-2025-22053', 'CVE-2025-22066', 'CVE-2025-39682', 'CVE-2025-22063', 'CVE-2025-40300', 'CVE-2025-38118', 'CVE-2025-40018', 'CVE-2025-22090', 'CVE-2025-23136', 'CVE-2025-39735', 'CVE-2025-22083', 'CVE-2025-22050']"
Multiples vulnérabilités dans le noyau Linux de SUSE (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0059/,Avis,"['CVE-2025-40197', 'CVE-2025-40186', 'CVE-2025-40102', 'CVE-2025-40169', 'CVE-2025-21710', 'CVE-2025-40153', 'CVE-2025-40133', 'CVE-2023-53676', 'CVE-2025-40141', 'CVE-2025-40164', 'CVE-2025-40172', 'CVE-2025-40070', 'CVE-2025-40205', 'CVE-2025-40107', 'CVE-2025-40115', 'CVE-2025-40171', 'CVE-2025-40157', 'CVE-2025-40194', 'CVE-2025-40098', 'CVE-2025-40183', 'CVE-2025-39944', 'CVE-2025-40101', 'CVE-2025-39897', 'CVE-2025-39961', 'CVE-2025-40207', 'CVE-2025-40081', 'CVE-2025-40158', 'CVE-2025-40033', 'CVE-2025-40121', 'CVE-2025-40206', 'CVE-2025-40196', 'CVE-2025-40149', 'CVE-2025-40110', 'CVE-2025-39822', 'CVE-2025-40180', 'CVE-2025-40162', 'CVE-2025-38359', 'CVE-2025-40187', 'CVE-2025-40040', 'CVE-2025-40038', 'CVE-2025-40159', 'CVE-2025-40168', 'CVE-2025-40166', 'CVE-2025-38728', 'CVE-2025-39819', 'CVE-2025-40198', 'CVE-2025-40135', 'CVE-2025-40132', 'CVE-2025-40200', 'CVE-2025-40075', 'CVE-2025-40047', 'CVE-2025-39980', 'CVE-2025-40203', 'CVE-2025-40175', 'CVE-2025-40111', 'CVE-2025-40030', 'CVE-2025-38321', 'CVE-2025-40120', 'CVE-2025-40156', 'CVE-2025-39859', 'CVE-2023-53574', 'CVE-2025-40176', 'CVE-2025-40083', 'CVE-2025-37916', 'CVE-2025-40185', 'CVE-2025-38361', 'CVE-2025-40064', 'CVE-2025-40161', 'CVE-2025-40154', 'CVE-2025-40127', 'CVE-2025-39831', 'CVE-2025-40048', 'CVE-2025-40204', 'CVE-2025-40086', 'CVE-2025-40105', 'CVE-2025-40188', 'CVE-2025-40142', 'CVE-2025-40139', 'CVE-2025-40109', 'CVE-2025-40202', 'CVE-2025-39990', 'CVE-2025-40178', 'CVE-2025-39788', 'CVE-2025-40001', 'CVE-2025-40173', 'CVE-2025-40003', 'CVE-2025-38084', 'CVE-2025-40053', 'CVE-2025-38085', 'CVE-2025-39805', 'CVE-2025-40031', 'CVE-2022-50253', 'CVE-2025-40059', 'CVE-2025-40192', 'CVE-2025-40140', 'CVE-2025-40116', 'CVE-2025-40055', 'CVE-2025-40006', 'CVE-2025-40027', 'CVE-2025-40201', 'CVE-2025-40021', 'CVE-2025-39917', 'CVE-2025-40134', 'CVE-2025-40024', 'CVE-2025-40165', 'CVE-2025-40074', 'CVE-2025-40118', 'CVE-2025-40129', 'CVE-2025-40177', 'CVE-2025-38257']"
Vulnérabilité dans Apache Struts (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0060/,Avis,['CVE-2025-68493']
Multiples vulnérabilités dans les produits IBM (16 janvier 2026),"Fri, 16 Jan 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0061/,Avis,"['CVE-2025-14847', 'CVE-2025-12383', 'CVE-2025-14115']"
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),"Fri, 16 Dec 2022 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,Alerte,"['CVE-2022-2827', 'CVE-2022-40259', 'CVE-2022-40242']"
Vulnérabilité dans les produits Fortinet (13 juin 2023),"Tue, 13 Jun 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,Alerte,['CVE-2023-27997']
Synthèse sur l'exploitation d'une vulnérabilité dans MOVEit Transfer (05 juillet 2023),"Wed, 05 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-005/,Alerte,"['CVE-2023-35036', 'CVE-2023-35708', 'CVE-2023-34362']"
Vulnérabilité dans les produits Microsoft (12 juillet 2023),"Wed, 12 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Alerte,['CVE-2023-36884']
[MàJ] Vulnérabilité dans Zimbra Collaboration Suite (17 juillet 2023),"Mon, 17 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-007/,Alerte,['CVE-2023-37580']
[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (19 juillet 2023),"Wed, 19 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-008/,Alerte,[]
[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (26 juillet 2023),"Wed, 26 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,Alerte,[]
Multiples vulnérabilités dans Exim (02 octobre 2023),"Mon, 02 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,Alerte,[]
[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),"Tue, 17 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/,Alerte,[]
[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (23 octobre 2023),"Mon, 23 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-012/,Alerte,[]
Vulnérabilité dans Apache Struts 2 (13 décembre 2023),"Wed, 13 Dec 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-013/,Alerte,[]
[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"Thu, 11 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,Alerte,[]
[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),"Fri, 12 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,Alerte,[]
[MàJ] Incident affectant les solutions AnyDesk (05 février 2024),"Mon, 05 Feb 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-003/,Alerte,[]
[MàJ] Vulnérabilité dans Fortinet FortiOS (09 février 2024),"Fri, 09 Feb 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-004/,Alerte,[]
[MàJ] Vulnérabilité dans Microsoft Outlook (15 février 2024),"Thu, 15 Feb 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-005/,Alerte,[]
[MàJ] Vulnérabilité dans Palo Alto Networks GlobalProtect (12 avril 2024),"Fri, 12 Apr 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-006/,Alerte,[]
Multiples vulnérabilités dans les produits Cisco (25 avril 2024),"Thu, 25 Apr 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/,Alerte,[]
[MàJ] Vulnérabilité dans les produits Check Point  (30 mai 2024),"Thu, 30 May 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-008/,Alerte,[]
Vulnérabilité dans OpenSSH (01 juillet 2024),"Mon, 01 Jul 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,Alerte,[]
Multiples vulnérabilités dans Roundcube (09 août 2024),"Fri, 09 Aug 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,Alerte,[]
Vulnérabilité dans SonicWall (10 septembre 2024),"Tue, 10 Sep 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-011/,Alerte,[]
[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),"Fri, 27 Sep 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,Alerte,[]
Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024),"Tue, 22 Oct 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/,Alerte,[]
[MàJ] Multiples vulnérabilités dans Fortinet FortiManager (23 octobre 2024),"Wed, 23 Oct 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-014/,Alerte,[]
[MàJ] Multiples vulnérabilités sur l'interface d'administration des équipements Palo Alto Networks (15 novembre 2024),"Fri, 15 Nov 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-015/,Alerte,[]
[MàJ] Vulnérabilité dans les produits Ivanti (09 janvier 2025),"Thu, 09 Jan 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-001/,Alerte,[]
[MàJ] Vulnérabilité dans les produits Fortinet (14 janvier 2025),"Tue, 14 Jan 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-002/,Alerte,[]
[MàJ] Vulnérabilité dans les produits Ivanti (03 avril 2025),"Thu, 03 Apr 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-003/,Alerte,[]
Activités de post-exploitation dans Fortinet FortiGate (11 avril 2025),"Fri, 11 Apr 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-004/,Alerte,[]
Vulnérabilité dans SAP NetWeaver (28 avril 2025),"Mon, 28 Apr 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-005/,Alerte,[]
Vulnérabilité dans les produits Fortinet (13 mai 2025),"Tue, 13 May 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-006/,Alerte,[]
Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (EPMM) (14 mai 2025),"Wed, 14 May 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-007/,Alerte,[]
[MàJ] Vulnérabilité dans Roundcube (05 juin 2025),"Thu, 05 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-008/,Alerte,[]
Multiples vulnérabilités dans Citrix NetScaler ADC et NetScaler Gateway (01 juillet 2025),"Tue, 01 Jul 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-009/,Alerte,[]
[MàJ] Multiples vulnérabilités dans Microsoft SharePoint (21 juillet 2025),"Mon, 21 Jul 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-010/,Alerte,[]
Incidents de sécurité dans les pare-feux SonicWall (05 août 2025),"Tue, 05 Aug 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-011/,Alerte,[]
Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (26 août 2025),"Tue, 26 Aug 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-012/,Alerte,[]
[MàJ] Multiples vulnérabilités dans Cisco ASA et FTD (25 septembre 2025),"Thu, 25 Sep 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-013/,Alerte,[]
[MàJ] Vulnérabilité dans React Server Components (05 décembre 2025),"Fri, 05 Dec 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-014/,Alerte,[]
